reviewer_name,rating,review_text,puskesmas_name
Ferdiansyah 22,1 bintang,"Pelayanannya kurang baik, masak sudah nunggu lama tiba tiba waktu di lab bilang kalau tutup gara gara ngerjain akreditasi ,

Ngejar akreditasi boleh tapi yah harus liat juga pasiennya yah masak sudah nunggu lama tiba tiba bilang kayak gitu",Puskesmas Simomulyo
mrifky husni2001,2 bintang,Pelayanan semakin jelek... Dokternya lambat. Apalagi di poli umum... Antrinya  lamaaaaa banget.,Puskesmas Simomulyo
Ranes Tjoa,1 bintang,"Pelayanan sangat buruk
Anak sya sakit muntah diare panas disuruh tunggu di igd  tanpa dikasi penanganan apa2
Anak sya pas muntah minta tisu sama perawat disna malah diomeli katanya suruh beli tisu sendiri katanya tisunya buat perawat",Puskesmas Simomulyo
mrsuprek ga,1 bintang,"Poli gigi disini parah cuma telat 2 menit dari jadwal antrian disuruh nunggu setelah 10 antrian, padahal dijadwal ada range waktu kehadiran",Puskesmas Simomulyo
hario utomo,5 bintang,Pelayanan baik dan semua pegawainya memberikan pelayanan sepenuh hati untuk pasien yang membutuhkan pertolongan 👍 …,Puskesmas Simomulyo
Anis Suryandari,4 bintang,"Alhamdullilah pelayanan di Puskesmas Simo bagus, cepat tanggap, kebersihan terjaga dan bersyukur krn dekat dg rumah. Semoga Pusk Simo semakin maju. Aamiin.",Puskesmas Simomulyo
Rindi Ariani,2 bintang,Puskesmas terlalu dekat dengan depo sampah bau sangat menyengat 🤮🤮🤮 sudah udara panas di tambah bau jadi sedap sedap gimana gitu😷😷😷 …,Puskesmas Simomulyo
Mayo Winarko,5 bintang,"Dokter- dokternya, perawatnya maupun stafnya ramah, puskesmasnya bersih dan kerjanya cepat!",Puskesmas Simomulyo
ari bonek,5 bintang,"pelayanan sangat bagus,barokallah buat para petugas disana
pelayanan online dan offline semuanya baik
terima kasih",Puskesmas Simomulyo
Della Anugrah Heni,3 bintang,"berkunjung untuk penerbitan rujukan ke klinik mata, akses dipermudah dan pelayanan semakin baik. terima kasih",Puskesmas Simomulyo
dhila and mira channel,5 bintang,"Bagus pelayanan mantab
Skrg jadi bersih puskesmas e rekk.. asriii ngunu",Puskesmas Simomulyo
Nanik Purwati,5 bintang,Petugasnya ramah2... Sat set pelayanannya... Bidannya baik dan ramah,Puskesmas Simomulyo
Oasis Hermawan,1 bintang,"Pelayanan untuk poli anak belum baik, kesanya buru2 segera pulang, Dokter sering tny perawat sisah berapa pasien......, jadi saran saya mending buka praktek sendiri jgn di puskesmas.",Puskesmas Simomulyo
Niswah rb,1 bintang,"pelayanan sangat buruk, anak saya sakit demam mau minta rujukan malah g di priksa sm skli g di ukur suhu malah di ajak ngobrol, padahal anak sedang rewel2nya. dan demam tinggi. sangat jelek, kecewa. g dpt obat, g dpt rujukan. SAYA KECEWA",Puskesmas Simomulyo
Wahid Hasan,4 bintang,"dokternya ramah²....
Alhamdulillah sdh ada kemajuan",Puskesmas Simomulyo
Cakra Akbar,1 bintang,"Gak tau pelayanan di sini aneh..
Pakek no antrian tapi gak pakek antri asal serobot baru di duluin",Puskesmas Simomulyo
Samrotul Fikriyah,1 bintang,Ruwet mbak yg buatin no antrian judes pelayanan yang buruk sangat buruk,Puskesmas Simomulyo
Agung Wibowo,5 bintang,"Barusan selesai periksa di poli giginya dg pelayanan yang mantap, terima kasih Bu dokter Ririn dengan pelayanannya yang ramah, the best in service, especially the dental clinic",Puskesmas Simomulyo
elia siadari,5 bintang,"Pelayanan di informasi, bagus sangat membantu.
POLI KIA bidan dan perawat nya ramah ramah.
Jam nya sangat on time. Sesuai dengan pendaftaran online.
Imunisasinya Gratis.
Sukses selalu Puskesmas Simomulyo.",Puskesmas Simomulyo
Mochamad Wildan,5 bintang,"puskesmas terrrbaik, melayani dengan sepenuh hati, pemberi solusi <3",Puskesmas Simomulyo
El Zahrah,1 bintang,"Perawat , dokter ldan staff tdk ada yg bisa diajak konsultasi dengan baik
Dan nomer antrian terlalu belibet selalu mengutamakan yg datang telat",Puskesmas Simomulyo
putri diah fatimah,3 bintang,Bagian farmasi luwama banget. Sampai antri bnyk org.,Puskesmas Simomulyo
Bilqis ufairah,4 bintang,"Puskesmas ini pelayananya sgt mmuaskan....
Tempatnya bersih...",Puskesmas Simomulyo
Ermas Putri Ichwani,5 bintang,"Baru kali ini saya ke faskes yang semua nakesnya bener bener ramah dan full senyum🥹 sangat telaten menjelaskan ke pasien, pelayanan bagus sekali, sudah tidak kalah dengan RS swasta yang bayar mandiri, betah walaupun melalui banyak pemeriksaan dari pagi sampai siang, keep up the good work yaa!🫶🏻 …",Puskesmas Simomulyo
aulia nisfi,5 bintang,"puskesmasnya bagus, bidan nya ramah💓 …",Puskesmas Simomulyo
Nadya Aurellia,1 bintang,pelayanan sangat amat burukk sekali,Puskesmas Simomulyo
Ryan Prasetya Utama,4 bintang,Cukup cepat pelayananannya untuk calon pengantin. Bapak parkirnya baik banget 👍 …,Puskesmas Simomulyo
Elvina Azalia,1 bintang,Pelayanan lama tidak sesuai jam antrian,Puskesmas Simomulyo
windy solikin,1 bintang,"Sangat sangat lambat pelayanannya.

Saya dari jam 9 pagi Sampek jam 1 siang masih blm selesai.  Jam 1 siang masih ngantri pengambilan obat.. sangat lemot .
Semoga kedepanya lebih baik lagi .",Puskesmas Simomulyo
rochimhartono 31,1 bintang,"Saya sangat kecewa sangat sangat kecewa dengan anda semua!! Tadi pagi sudah saya jelaskan bahwa air tuban istri saya keluar banyak, sudah dicek semua saya tanya kenapa cuman dijawab *gapapa nunggu ngrembes berikut nya*matamu gapopo istriku wes kalong banyu ketuban akeh, isok jawab ngunu tok? Kond lak sekolah kan? Jawaban mu garai wong kenek opo opo blok, resgino kabeh sing nak poli KIA",Puskesmas Simomulyo
boy dimas,2 bintang,"Pelayanan kurang memuaskan untuk ke poli gigi harus menunggu no antrian masuk, lalu antri cukup lama isi data untuk swab, lalu antri lagi untuk swab, dan perlu antri lagi untuk masuk ke poli gigi. Pelayanan disetiap penjaga juga kurang baik.",Puskesmas Simomulyo
Wilwilly,1 bintang,kurang nyaman pelayanan lelet,Puskesmas Simomulyo
Lenny Dwi Sulistia,5 bintang,Tempat rawat inap nya nyaman bagus sekali  pengawainya ramah tamah,Puskesmas Simomulyo
Amirul Islami,1 bintang,"Anak Saya berobat 15 September 2022 dan di kasih Obat sudah  expired bulan september dan ngk ada tanggalnya..
Apa itu ngak termasuk obat expired??? Tlng  obat yg uda expired jgn di paksakan ke pasien mending di musnahkan saja apalagi buat anak.",Puskesmas Simomulyo
Ririn Wulandari,1 bintang,"pelayanan poli KIA skrg kurang ... dokternya ada yg krg sabaran dalam melayani ..
kurang penjelasan.. dikit dikit main rujukan .",Puskesmas Simomulyo
Chandra Chintya,1 bintang,Pelayanan yang sangat sangat sangat BURUK sekali. Penanganan medis yg sangat lelet dan menyepelehkan kondisi pasien. Buruk buruk buruk,Puskesmas Simomulyo
Rpl2_ Rifki28,1 bintang,"Data vaksin kedua saya tidak di UP, tidak terdeteksi di app (Peduli Lindungi) jadi tidak bisa vaksin ketiga. Padahal jangka waktunya udah lama banget.
Minta tolong dong pelayanannya..",Puskesmas Simomulyo
Erma Latifah,5 bintang,Pelayanan vaksinnya cepat. Ramah .pelayanan umum juga cepat..hanya CSnya yg kurang..oetugas hanya 1 org di jam2 banyak padien..agak antri walau gak lama,Puskesmas Simomulyo
Vebrina Tivanie,1 bintang,"kedua kali ke sini pelayanan tidak baik.

no antrian yg lewat tapi tidak di suruh nunggu sampai antrian selesai malah langsung masuk saja.

pelayanan kurang.",Puskesmas Simomulyo
Aulia Rahma,1 bintang,Sekarang kalau berobat tanpa d priksa cuman di tanyak saja lalu d tensi tanpa tdr lalu d priksa atau gimna seprti umumny kalau priksa cuma duduk d kursi saja lalu d kasih resep obat gitu saja gk kyak dlu enak nyaman lagi,Puskesmas Simomulyo
Nur Aida,1 bintang,"Pelayanan kalian sangat mengecewakan, org tua saya dibentak pas lagi bawa anak saya periksa  sangat tidak memuaskan minta tolong belajar bersikap yg baik terhadap masyarakat , sangat sangat tidak baik !!! kejadian hari ini tgl 3 Januari 2023",Puskesmas Simomulyo
Septi Sari,1 bintang,Dokternya bidanya petugasnya sama sekali gaada yg enak judess smua kali ditanya jwbnya ketus bgt heran org lahiran ank ke 2 dimarah2 in lya gini ini kalo lahiran ke puskesmas pake BPJS kecewa sgt kecewa kalo kesimo,Puskesmas Simomulyo
Muya Saja,1 bintang,"Pelayanannya sangat sangat sangat lambat lelet.....kadang didlm petugas gak begitu sat set....bikin emosi.apa karena pake bpjs ya
Kinerja perlu ditingkatkan",Puskesmas Simomulyo
Dimas Syahrul,5 bintang,Hampir selalu banyak pasien. Sebaiknya antri pagi sekitar jam 07.00 - 07.30 agar dapat pelayanan lebih awal. Mulai agak sepi setelah pukul 10.30,Puskesmas Simomulyo
arindah lestaria,5 bintang,Pelayan an nya bagus mb nya ramah ramah dan ok banget diarahkan juga jdi jelas apalagi bagian BKIA nya,Puskesmas Simomulyo
Rosi Milasari,3 bintang,"saya sudah sering kesini, tapi baru hari ini saya menjumpai nakes yang mendata pasien di ruangan poli umum gabisa jaga omongannya di depan banyak pasien, tapi gapapa saya maklumi saja, saya mohon untuk dikondisikan nakes yang seperti ini, terimakasih sebelumnya🙏 …",Puskesmas Simomulyo
Angga Aldiansyah,1 bintang,"Sorry bukan saya menghina atau , itu yang kerja ngapain aja ?, Anak saya panas, karna ke dokter aga jauh saya putusin ke puskesmas dulu periksa, dapet nomber antrian 11, istri saya ga di panggil panggil, malah langsung no 15, 16, dari jam 7 pagi sampe jam 10 lebih, heran kerja lemot kaya gitu, kalo ga niat nolong masyarakat gausah kerja di puskesmas",Puskesmas Simomulyo
mila nurcahyani,3 bintang,"Saya kesini utk mengurus surat kesehatan, semua pelayanan nakes sangat baik dan ramah. Yg sangat saya sayangkan adalah bagian pelayanan informasi (tempat ambil no.antrian) entah itu satpam atau bukan, belagu banget sikapnya, saya ngomong baik2 tp dijawab nyolot dan yg kedua setelah saya kembali dr ruang KIA, jelas2 saya berdiri di depannya, bertanya, tp tdk digubris. Jgn gitu dong pak andika, dokternya aja full senyum anda kok songong 👎",Puskesmas Simomulyo
Penny Prasodjo,5 bintang,Pelayanan nya memuaskan... Pertanyaan yang ditanyakan dijawab dengan jelas... Cepat tanggap ke pasien...,Puskesmas Simomulyo
Aik Rustiqi,5 bintang,Pelayanan sangat memuaskan..,Puskesmas Simomulyo
Bingkai Semangat,1 bintang,"Hari ini poli umum urutan 40 ke atas tdk kedengeran suaranya, kalah dibanding panggilan, poli lain, sudah berapa pasien bilang tdk dengar ada panggilan, katanya tadi sdh dipanggil katanya, pdhl kita duduk persis depan poli umum. Buat apa kita lama2 di sini klo dipanggil ga segera ke dalam. Benahi lagi antrian nya. Mulai awal panggilan smpe setengah 8, antrian normal. Setelah nya mandeg. Di mulai lagi jam 9. Dokter bagus, petugas screening awal penyakit pakai kerudung kurang bagus.",Puskesmas Simomulyo
Happy W. Lauwrenthioes,4 bintang,"Sangat membantu & ramah,.  🙏🙏🇲🇨 …",Puskesmas Simomulyo
Lien Karduki,4 bintang,"Bersih, rapi dan pelayanan memuaskan",Puskesmas Simomulyo
Fiorendy,5 bintang,"Pendaftaran antrian bisa online.
Pelayanan cepat, tenaga kesehatannya professional & ramah. Dokter umum yg perempuan sangat komunikatif.",Puskesmas Simomulyo
Khumaidi Fajrin,1 bintang,"Saran saya bagi yg mau Mintak untuk Pembuatan surat Kesehatan buat perpanjang ""SIM"" Jng di sini Lama sekali jam 8 - jam 12 gk kelar2. Padahal nomer antrian jam 8.30-9.10 udh selesai harusnya. Pelayanan yg lama sekali.",Puskesmas Simomulyo
Dodiastyo H,1 bintang,"Pelayanan utk poly anak sangat jelek, no antrian tidak jelas bahkan petugas tidak mengerti no antrian yg ke berapa. Petugas juga tidak ramah, minta tolong bu Risma di edukasi jajaran2 yg berbentur langsung dengan masyarakat",Puskesmas Simomulyo
alvia andryana,5 bintang,Poli KIA di puskesmas simomulyo nakesnya ramah dan positif vibes banget. Meskipun terkesan tergesa2 bisa di pahami karena banyaknya antrian. Ada bu bidan yang bisa di ajak sharing juga soal ASI. Bisa konsultasi juga lewat whatsapp. Apapun pertanyaannya langsung di jawab. The best poli KIA di simomulyo,Puskesmas Simomulyo
Thomas Robinson,1 bintang,"Mengecewakan tapi tidak kaget. Ya semoga dokter di sana selalu diberikan kesehatan. Dan juga, tidak ada pasien lain yang kecewa selain saya, ehe",Puskesmas Simomulyo
Sukma Nurmala Fitri,5 bintang,"Pelayanan baik dan ramah (yang saya rasakan di Poli KIA dan poli anak)
Ramah dan sat set",Puskesmas Simomulyo
Nova nurochifah,1 bintang,"Saya benar2 kecewa sma pelayanan security nya disini...saya kn cuma mau tanya sesuatu...nmanya g tau mkanya saya tnya...jwbannya tidak enk didengar sama sekali..pkoknya bkin org jdi males buat ksna lagi....tolong dengan sngat saya mnta security nya ditegur ato dibuatkan sp..tolong hiraukan ulasan saya ini karena saya yakin bnyak orang yg kecewa dengan jwban si security ketika ditanyai...sebenarnya juga g sekali ini saya mengalami ini,saya sudah sering dan memang si security ini ngmongnya tidak pernah enak untuk didengar...kesabaran juga da btasnya..g sekali dua kali si security kyk gini..security nya cowok,gemuk tinggi,item.",Puskesmas Simomulyo
Sofia Wardani,5 bintang,"Saya pasien kia dari anak pertama sampe kedua, pelayanan selalu bagus pakai BPJS atau tidak👍🏼👍🏼👍🏼 …",Puskesmas Simomulyo
Donny,1 bintang,"Pelayanan sangat2 lama utuk sekedar imunisasi dapat antrian online no 36 eh udah datang awal sesuai jam tercantum yang dipanggil no yang tidak ada terus setelah terlewat no nya masih di ulang ulang ya no yang besar2 ga kepanggil panggil sampai numpuk antrian buanyak itu aja masih di ulang2 no yang tidak ada terus ya ga slese2, petugas ditanyain sudah no berapa jawaban nya masih lama... Wong pertanyaan nya udah no berapa jawabnya gitu anak saya yang balita aja bisa jawab kalau cuma kaya gitu.. Tau gini mending pilih yang bayar saja sistemnya lebih bagus daripada gratis seperti ini",Puskesmas Simomulyo
Alan Vazmal,1 bintang,Kecewa.  Ga terorganisir kacau balau nunggu dari jam 9 sampe jam 12.30. Malah suruh daftar ulang.  Alesannya tidak ada data pdhal pas daftar staff nya sendiri yg kasih arahan suruh nunggu d ruang mtbs. Anak dan istri saya korban.,Puskesmas Simomulyo
Adhka,1 bintang,Pelayanan buruk Vaksin dipersulit sudah 6 bulan dari jarak vaksin ke 2 mau vaksin ke 3 di persulit padahal sudah di cek di peduli lindungi berhak menerima vaksin ke 3 (booster),Puskesmas Simomulyo
Lutfi Dwi Kurniawan,1 bintang,Mohon untuk lebih bersikap kompeten dalam pelayanan..ini ortu saya ud engos2an..cara ngmg nya kok tinggi sekali...mau saya bentak dokternya ini tadi..pelayanan kok kek gni...semoga jadi upaya perbaikan..mungkin kalo saya kesana lagi dan diperlukan sama..maaf saya akan lakukan pengaduan lebih ke atas...terima kasih,Puskesmas Simomulyo
ningce azza,5 bintang,selama hamil anak ke 2 ini saya kontrol ke puskesmas simomulyo.puskesmas nya rapi dan bersih.untuk poli KIA memang tidak ada USG.untuk pelayanan memang yang antri banyak karna memang untuk umum.lebih baik kalau sudah pernah ke sana dan ada data di puskesmas sana.online saja...tinggal di print ke sana.untuk bidan dan dokternya ramah dan baik hati...sukses terus puskesmas SiMOmuLyo 😊😊.,Puskesmas Simomulyo
Yafik Marzuq,3 bintang,Buka ta pak puskesmas e?,Puskesmas Simomulyo
wahyu prasetio,5 bintang,"Pertama kali datang kesini untuk mendapatkan vaksin booster, Pelayanan bagus, cepat, Ramah, tempat cukup nyaman, dan staff memberikan informasi yg jelas, puas bgt lah",Puskesmas Simomulyo
Hana Arnin,4 bintang,"Pelayanan cukup bagus, cukup ramah. Untuk yang memberikan klaim negatif mohon di pertimbangkan lagi, jangan memberikan ekspektasi yg tinggi, ini puskesmas bukan rumah sakit besar. Semua pengguna BPJS harus ke puskesmas dulu untuk pengobatan awal. Jd dimaklumi aja kl antrinya banyak dan terasa pengap. Kalau ada pegawai/PNS kementrian kesehatan membaca ulasan ini, mohon di bantu untuk perbaikan fasilitas puskesmas demi kenyamanan para pasien. Juga pengembangan manajemen sumberdaya manusianya supaya lebih update. Terima kasih.",Puskesmas Simomulyo
Vant Vin,5 bintang,"Petugas poli KIA ramah dan telaten, bagian cek tiket yg d depan juga sudah tertata petugasnya jg ramah . Pertahankan",Puskesmas Simomulyo
Taufik Hidayat,1 bintang,"Petugas dan dokternya gak ada yang ramah, PP pelayanannya luaaaaaama  gak jelas semua, gak ada sifat rela sama sekali alias gak prof sama sekali",Puskesmas Simomulyo
Syafruddin Aila,1 bintang,"cabut gigi anak usia 6th langsung pakai tang tanpa bius atau apapun, langsung 2 gigi di cabit, dan bisa kalian bayangkan betapa kesakitannya, nyesek sbgai orang tua, udah nunggu dr jam 9 masuk ruagan jam 14",Puskesmas Simomulyo
Revi tri Januar,1 bintang,"Sudah menunggu lama tapi malah no yang sudah terlewat yang di dahulukan, enak yang no sudah terlewat datang agak siang begitu bilang ke petugas no berapa langsung di persilakan masuk,,, mohon di perbaiki kualitas pelayanannya dong klo memang no nya sudah terlewat ya harus menunggu dong,,,, semoga cepet ada perbaikan kualiatas pelayanan nya",Puskesmas Simomulyo
irvan syahrial achyar bantan,2 bintang,Fasilitas lumayan.... Pelayanan lumayan juga... Nggak bagus-bagus amat... Perlu ditingkatkan lagi alur pelayananannya... Ruwet dan membingungkan.... Kurang terorganisir dengan baik... Pastinya yang dikorbankan tetaplah pasiennya... Kasian juga bagi yang bawa bayi kan....,Puskesmas Simomulyo
Sari Puspa,5 bintang,"Pelayanan nya baik dan ramah, antrian pasien cepat, tempatnya juga bersih dan nyaman",Puskesmas Simomulyo
Miftachul Munir,5 bintang,"tempatnya agak sumuk sedikit.. soalnya peminatnya banyak.. tempat duduknya pasti full bila pagi. klo agak siangan pasti dapat kursi duduk, tapi tidak dapat periksa laborat, karena kapasitas yg sudah maksimal.. kata petugas nya..",Puskesmas Simomulyo
Mafrudlotul Ilma,5 bintang,"Di puskesmas apa bisa minta vit A tetes warna biru tuk bulan feb ini dan untuk imunisasi IPV apa sudah ready stock karena putri saya tgl 17feb sudah masuk 9 bulan tp belum dpt IPV karena terakhir bln jan kmrn stok masih kosong, padahal bulan ke 9 masuk imunisasi campak. Trimakasih..",Puskesmas Simomulyo
Mutma Inah,4 bintang,"ada rolling satpam sepertinya.
saat pengambilan nomor antrian sdh berhadapan dg satpan yg baik hati....
sesibuk apapun dilayani dg komunikasi yg baik.Nakesnya semuanya baik.
pak satpam mhn maaf yg tdk tau namanya ( tinggi kurus muda) ok banget...trm ksh pak.",Puskesmas Simomulyo
riduwan azri,5 bintang,"Puskesmasnya bersih, petugasnya ramah dan pelayanannya cepat...pertahankan 👍 …",Puskesmas Simomulyo
Dian Ayu R,2 bintang,"Pelayanan ibu ini gatau kenapa jutek bgt, ada org tanya sopan ataupun naruh kertas ditaruh dimana jawabnya ga sopan",Puskesmas Simomulyo
Tri Hand,5 bintang,"Pelayanan  oke lah,,
Kalo petugas ada yang ramah ,ada yang tidak.",Puskesmas Simomulyo
tri noviani,1 bintang,pegawainya perlu ada brifing pelayanan yang baik itu bagaimana kali ya.. apa perlu ada training pelayanan yang baik itu bagaimana.. supaya lebih maju ke depanya..,Puskesmas Simomulyo
matus salamah,5 bintang,"Dari pada yg lain, puskesmas sidomulyo lbh baik, pelayanan dan ke nyamanannya lumayan, meskipun antri, tlg ditambah dokternya biar lbh keren",Puskesmas Simomulyo
Riza Diba,5 bintang,"Lebih nyaman periksa kehamilan dipkm simomulyo dri pda di pkm yg lain
Rawat inap untk lahiran juga oke, bidan*nya juga ramah",Puskesmas Simomulyo
Rere Ds,3 bintang,Ke poli gigi dokternya baik ramah tapiii alatnya rusak mau bersihin karang. Jadi manual 😭 itu pun ga semua di bersihin hmm …,Puskesmas Simomulyo
Azizah Bilfaqih,5 bintang,"Pelayanan sangat baik, petugasnya ramah, fasilitas juga lengkap..",Puskesmas Simomulyo
Wexku Aja,1 bintang,"Sdh cukup baik mebagongkan, petugas swab tidak ada di tempat saat jam layanan",Puskesmas Simomulyo
isty pratama,1 bintang,"Vaksin untuk anak kehabisan sedangkan bnyk anak"" yg nunggu harusnyq kan sudh disiapkan brp sasarannya.. ..",Puskesmas Simomulyo
Aprilia Fajar,1 bintang,Pelayanan luama banget jauh dari jam estiminasi di aplikasi,Puskesmas Simomulyo
Oktavia Arimurti,1 bintang,"Pelayanan lama banget gajelas!!!
Nomor antrian gaada gunanya manggilnya random",Puskesmas Simomulyo
Nurul Huda,4 bintang,Arenya bersih... Sayang ruang itnya agak berserakan.,Puskesmas Simomulyo
ALGHAITSHA SARAH,5 bintang,"pelayanan baik sekali, bidannya sabar.",Puskesmas Simomulyo
Mysha -chan,2 bintang,"Bu Dokter poli umum judes bgt, cuman ditanya tanyain sama tensi aja dah slese.",Puskesmas Simomulyo
